Soil Moisture,Temperature,Air Humidity,Pump
647.3801793888373,30.431505168395226,69.85230050957226,0
411.64819314549743,33.65744497386717,79.6556004637073,1
629.2118230537988,24.774914548553696,60.22405663421188,1
856.0025088647856,32.77590667070401,59.148471124761315,0
406.23715135472526,25.69321666057953,67.33085353775763,1
501.20268426290716,33.64136883817959,48.452018156761426,1
823.5013175308579,32.548020995164556,40.57516986556543,0
752.2030323030706,38.40310916153262,49.42116593354383,0
939.8751674001758,34.88643309770795,60.10257191568827,0
627.3303097370258,33.551349326424585,42.44384556083539,1
759.4764087608736,31.512698214169042,72.9789058733633,0
765.4991338550641,22.545721176246733,64.39176985344005,0
439.0671892620638,26.355183883674055,60.722247043606224,1
790.2347538986367,25.84044413299719,65.21151473543279,0
657.8530393551301,24.756659024520985,54.76951589853648,1
694.6975578089448,32.255554633732125,65.12123875156357,0
536.1353323930817,28.10269215061067,58.79707176789543,1
518.0105467572346,28.135854491912543,50.55871255732468,1
759.8518115943893,34.14622856652655,46.43985596060606,0
451.5152954338972,23.244650316264806,40.32322725421248,1
757.7886995801828,32.38163198825313,48.71099559130666,0
550.3050076550148,22.088734811051026,69.61247916398756,1
502.55632970020974,23.760979405681404,72.23365991271834,1
912.4303606777488,25.220205384025974,74.51080184776967,0
691.6921468583695,31.046479828622893,42.666269450102604,1
366.87098011558305,37.291667083911605,58.86410900975611,1
776.2224918313776,37.00124973249348,82.50750255122877,0
413.10681965493944,37.55157833380412,69.83949231048325,1
764.6103787934798,21.808090247421443,52.76683708717316,0
784.7466316880506,29.411699245445153,72.31751232573359,0
409.94943972601874,31.816533472998564,79.76356615903924,0
665.6972007168754,18.135330960575903,78.50016081097317,1
732.6048688901647,25.65256537867625,76.63331678859254,0
452.42633662483496,35.07466558241608,43.967848880861375,0
912.415690066739,35.4773325608685,38.69125419469933,0
907.3888682085818,23.817356157351504,60.09057884282926,0
921.9561679297166,33.27480950906751,73.81968537401404,0
418.1229758870754,22.53994556393496,56.23373008426847,1
789.5439259157564,19.86696575947963,45.89911261944237,0
909.4836945897391,17.824425346635927,57.81832794452658,0
